epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7692276835441589,9.999999747378752e-05,0.3695255219936371,0.8833052515983582,0.2064887136220932
1,0.8888648748397827,9.999999747378752e-05,0.19790205359458923,0.8952710628509521,0.1877521574497223
2,0.8954744935035706,9.999999747378752e-05,0.18838030099868774,0.8988274931907654,0.18287180364131927
3,0.8981819748878479,9.999999747378752e-05,0.18521703779697418,0.9002723097801208,0.18095232546329498
4,0.8995156288146973,9.999999747378752e-05,0.18306227028369904,0.9016244411468506,0.1790909618139267
5,0.9014543890953064,9.999999747378752e-05,0.1817120909690857,0.9039398431777954,0.1779748797416687
6,0.9023990631103516,9.999999747378752e-05,0.18080881237983704,0.9018282294273376,0.17750875651836395
7,0.9345025420188904,9.999999747378752e-05,0.050669871270656586,0.9394668936729431,0.03454650565981865
8,0.9384232759475708,9.999999747378752e-05,0.036261722445487976,0.9397076964378357,0.035288017243146896
9,0.9385591149330139,9.999999747378752e-05,0.03592648357152939,0.9394854307174683,0.03544658422470093
10,0.9388523697853088,9.999999747378752e-05,0.03542998805642128,0.9393372535705566,0.03429478779435158
11,0.9388740062713623,9.999999747378752e-05,0.03499360382556915,0.9393742680549622,0.03594359755516052
12,0.9390345215797424,9.999999747378752e-05,0.03555683419108391,0.9402448534965515,0.035029053688049316
13,0.939216673374176,9.999999747378752e-05,0.03533613309264183,0.9398744106292725,0.034993212670087814
14,0.939367949962616,4.999999873689376e-05,0.03512897342443466,0.9401707649230957,0.03493466228246689
15,0.9394049644470215,4.999999873689376e-05,0.035002101212739944,0.9402448534965515,0.035058654844760895
